No.,Temp,DO,PH,CONDUCTIVITY,BOD,NITRITE,FECAL_COLIFORM,TOTAL_COLIFORM,Wqi,Class,,,,,
84,0.714285714,0.271929825,0.843507214,0.014899799,0.018709074,0.034038638,2.20166E-05,0.000122287,28.27218125,1,,,,,
85,0.58,0.421052632,0.732519423,0.013484318,0.028063611,0.030358786,2.20166E-05,2.05443E-05,28.29877928,1,,,,,
86,0.828571429,0.307017544,0.728856826,0.019150711,0.003990645,0.003192272,8.07275E-07,8.66773E-07,28.3481544,1,,,,,
87,0.857142857,0.219298246,0.832408435,0.016508977,0.011225444,0.005519779,5.87109E-08,1.66311E-07,28.35425698,1,,,,,
88,0.514285714,0.426929825,0.817647059,0.008463086,0.022450889,0.012575897,1.2843E-05,5.41332E-05,28.40164035,1,,,,,
89,0.5,0.447368421,0.817647059,0.005781122,0.012971001,0.012879485,9.99187E-06,8.42649E-05,28.49401298,1,,,,,
90,0.495228571,0.423947368,0.836071032,0.011323847,0.024944808,0.017782889,8.4397E-06,5.8698E-05,28.49924066,1,,,,,
91,0.5,0.456140351,0.810210877,0.005830291,0.011724977,0.012879485,8.705E-05,0.000105787,28.56601493,1,,,,,
92,0.571428571,0.412280702,0.743618202,0.018118155,0.050140318,0.034038638,4.862E-05,6.16329E-05,28.5882903,1,,,,,
93,0.771428571,0.271929825,0.799112098,0.021098115,0.024695978,0.040570377,1.09789E-05,3.89696E-05,28.64680309,1,,,,,
94,0.822857143,0.298245614,0.743618202,0.044177904,0.004303087,0.010211592,9.94417E-07,2.41836E-06,28.77681521,1,,,,,
95,0.8,0.245614035,0.876803552,0.009878567,0.011094481,0.008923643,0.000551332,0.000700463,28.77781494,1,,,,,
96,0.548571429,0.447368421,0.776914539,0.001564479,0.006735267,0.04323827,1.28797E-06,1.52615E-06,28.78221087,1,,,,,
97,0.6,0.394736842,0.799112098,0.013186322,0.019644528,0.030358786,4.03638E-06,2.34792E-05,28.80355519,1,,,,,
98,0.637142857,0.412280702,0.776914539,0.007852194,0.003554724,0.013275069,0.001126499,8.21772E-08,28.84462779,1,,,,,
99,0.657142857,0.403508772,0.776914539,0.002801162,0.005238541,0.013275069,0.001126499,3.52188E-08,28.85603921,1,,,,,
100,0.6,0.657894737,0.410654828,0.001847575,0.034611787,0.013275069,0.001126499,4.8328E-07,28.90271281,1,,,,,
101,0.6,0.385964912,0.799112098,0.017641362,0.033863424,0.03449862,6.32977E-05,0.000136962,28.93744098,1,,,,,
102,0.554285714,0.394736842,0.788013319,0.002920361,0.028999065,0.101195952,0.000178375,8.47853E-05,28.94854223,1,,,,,
103,0.715685714,0.379385965,0.78190899,0.00815019,0.003882133,0.002299908,9.17358E-08,2.13269E-07,29.05314769,1,,,,,
104,0.857142857,0.192982456,0.887902331,0.027341131,0.033489242,0.007911684,3.84483E-05,4.98502E-05,29.08475741,1,,,,,
105,0.642857143,0.429824561,0.76581576,0.001385681,0.006735267,0.013275069,0.001126499,4.8915E-08,29.09227677,1,,,,,
106,0.808571429,0.342105263,0.76581576,0.000923788,0.000935454,0.006439742,5.68762E-07,5.55674E-07,29.10553128,1,,,,,
107,0.571428571,0.394736842,0.821309656,0.017671161,0.042469598,0.02824287,4.77026E-05,0.000153266,29.11899961,1,,,,,
108,0.628571429,0.438596491,0.743618202,0.012113536,0.014031805,0.02023919,4.77026E-06,1.76094E-05,29.12186414,1,,,,,
109,0.914285714,0.061403509,0.810210877,0.189182746,0.085313377,0.012143514,2.35578E-06,2.46336E-06,29.12876542,1,,,,,
110,0.585714286,0.412280702,0.743618202,0.013499218,0.047333957,0.070837167,8.62317E-05,9.29385E-05,29.14042925,1,,,,,
111,0.471428571,0.447368421,0.871254162,0.011696342,0.022450889,0.015179393,1.11918E-05,7.14159E-05,29.14627731,1,,,,,
112,0.514285714,0.429824561,0.821309656,0.014497504,0.032740879,0.043882245,8.07275E-05,7.9569E-05,29.16690223,1,,,,,
113,0.6,0.394736842,0.799112098,0.012754228,0.044527596,0.03173873,0.000124761,0.000454909,29.17272358,1,,,,,
114,0.542857143,0.473684211,0.799112098,0.002279669,0.003180543,0.016375345,7.81589E-07,5.43935E-07,29.21758966,1,,,,,
115,0.571428571,0.429824561,0.754716981,0.016345079,0.049579046,0.044158234,5.13721E-05,9.04927E-05,29.23000623,1,,,,,
116,0.514285714,0.429824561,0.788013319,0.002711763,0.026566885,0.106807728,3.82245E-05,3.03273E-05,29.23569734,1,,,,,
117,0.808571429,0.280701754,0.854605993,0.013186322,0.011786717,0.004691812,1.43108E-05,1.87344E-05,29.34200893,1,,,,,
118,0.571428571,0.438596491,0.810210877,0.01114505,0.013844715,0.024379025,4.58679E-05,0.000176094,29.36792507,1,,,,,
119,0.565714286,0.438596491,0.76581576,0.017462564,0.047708138,0.034958602,5.68762E-05,9.53842E-05,29.37934143,1,,,,,
120,0.614285714,0.359649123,0.832408435,0.015123296,0.04303087,0.056117755,0.00012843,0.000112504,29.39147607,1,,,,,
121,0.637142857,0.412280702,0.821309656,0.003277956,0.002993452,0.013275069,0.001126499,2.73924E-07,29.39953874,1,,,,,
122,0.505714286,0.50877193,0.76581576,0.001013186,0.005799813,0.045078197,7.22878E-07,9.05905E-07,29.4246607,1,,,,,
123,0.514285714,0.342105263,0.876803552,0.036087313,0.139943873,0.007175713,0.001126499,0.000980399,29.43597032,1,,,,,
124,0.742857143,0.447368421,0.688124306,0.000819489,0.002057998,0.003679853,4.67853E-06,3.9132E-06,29.44486648,1,,,,,
125,0.642857143,0.447368421,0.76581576,0.002532966,0.004677268,0.013275069,0.001126499,1.9566E-08,29.46808852,1,,,,,
126,0.828571429,0.368421053,0.732519423,0.001385681,0.003180543,0.005151794,9.28367E-07,7.53291E-07,29.49315944,1,,,,,
127,0.514285714,0.485350877,0.810210877,0.006754079,0.017461179,0.014415823,0.000131219,0.000172832,29.51366409,1,,,,,
128,0.542857143,0.49122807,0.788013319,0.004753036,0.008231993,0.013275069,0.001126499,2.9349E-08,29.54020538,1,,,,,
129,0.571428571,0.447368421,0.799112098,0.011323847,0.02525725,0.023459062,8.07275E-05,0.000239683,29.55763651,1,,,,,
130,0.588571429,0.429824561,0.821309656,0.006064218,0.03049579,0.013275069,1.87141E-07,2.34792E-07,29.56898187,1,,,,,
131,0.571428571,0.421052632,0.832408435,0.01335022,0.018709074,0.037718491,2.5686E-05,0.000136962,29.57437867,1,,,,,
132,0.885714286,0.175438596,0.854605993,0.047157863,0.060430309,0.031646734,4.21911E-05,2.96875E-05,29.59485075,1,,,,,
133,0.657142857,0.421052632,0.810210877,0.003873948,0.001496726,0.010119595,1.10083E-08,1.36962E-08,29.61790966,1,,,,,
134,0.885714286,0.315789474,0.776914539,0.000432094,0.003741815,0.000827967,1.21091E-07,3.32622E-07,29.64448122,1,,,,,
135,0.811428571,0.394736842,0.721420644,0.001147285,0.002057998,0.003127875,1.46777E-06,5.2339E-06,29.64694382,1,,,,,
136,0.657142857,0.447368421,0.76581576,0.002830962,0.004303087,0.013275069,0.001126499,6.45678E-08,29.65291593,1,,,,,
137,0.571428571,0.421052632,0.821309656,0.012724428,0.031805426,0.04323827,7.52234E-05,7.43508E-05,29.66587762,1,,,,,
138,0.542857143,0.421052632,0.843507214,0.016240781,0.041159963,0.033118675,0.000111918,0.000102721,29.66970379,1,,,,,
139,0.485714286,0.535087719,0.754716981,0.011517545,0.027502339,0.013275069,0.001126499,0.000980399,29.67146988,1,,,,,
140,0.58,0.49122807,0.743618202,0.012024138,0.0202058,0.018399264,6.69672E-06,1.46745E-05,29.71601383,1,,,,,
