STATION,LOCATION,STATE,TEMP,DO,PH,CONDUCTIVITY,BOD,NITRATE,FECAL_COLI,TOTAL_COLI,YEAR,WQI
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,18.8,7.2,7.1,66,1.9,3.4,28,63,2014,39.72120098
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,18.9,7.4,7.1,57,1.5,2.9,13,40,2014,35.96911765
3356,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA,25.1,7.5,7.4,144,1.7,3.5,26,59,2014,49.3651348
3350,UMKHEN AT WAHKDAIT,MEGHALAYA,18.8,7.1,7.1,63,1.9,5.6,22,48,2014,39.80753676
3351,UMKHEN AT KSEHPONGDENG,MEGHALAYA,20.2,7.3,7.2,65,1.9,3.3,24,48,2014,40.35251225
3352,"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,20,7.3,7.3,65,2,3,25,54,2014,41.90839461
3359,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,18.5,1.5,6.9,345,33.9,16.9,23232,34251,2014,259.0893995
3360,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,18.8,3.9,7.1,233,17,10.5,13174,22223,2014,149.8261642
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,18.3,1,7.2,376,57.2,20.3,48665,83554,2014,393.947549
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,18.5,0.9,7.2,506,61.1,19.6,64250,106333,2014,429.5574142
3357,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,18.2,7.2,7,66,1.9,3.7,28,60,2014,38.70943627
3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,22.1,7.7,7.2,62,1.6,3,27,59,2014,37.24246324
3363,"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS",MEGHALAYA,17.6,7.3,6.9,61,2.2,2,25,52,2014,38.3848652
3364,"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,18.7,1.2,7.1,380,45.7,15.6,51583,94083,2014,329.9366422
3365,"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",MEGHALAYA,18.7,3.2,7.1,258,23.5,10.3,31833,54083,2014,189.8863971
1427,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",MEGHALAYA,23.1,7.2,7.2,124,6.9,4.5,348,552,2014,74.33296569
3366,"UMTREW RIVER AT UMRAN, RINAN BHOI",MEGHALAYA,22.6,7.2,7.1,65,2.1,2.4,56,120,2014,40.64178922
3373,"WAH BLEI AT RIANGDO, WEST KHASI HILLS",MEGHALAYA,20,7.5,7.3,64,1.9,3.3,21,42,2014,40.70631127
3374,"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",MEGHALAYA,19.9,7.6,7.3,65,1.9,3.8,21,43,2014,40.56115196
2050,TLAWNG UPSTREAM AIZAWL,MIZORAM,24.5,7.1,7.3,269,1.4,0.1,NAN,115,2014,61.23988971
2051,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,24.4,7.2,7.3,275,1.5,0.1,4,68,2014,62.15355392
2052,TUIRIAL UPPER CATCHMENT,MIZORAM,23.6,6.9,7.1,186,1.6,0.1,NAN,29,2014,51.80373775
2053,TUIRIAL LOWER CATCHMENT,MIZORAM,23.5,6.8,7.1,201,1.4,0.2,NAN,86,2014,52.63713235
1403,"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",TRIPURA,27.3,6.2,7.8,165,2.1,0,282,340,2014,61.51105095
1404,"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",TRIPURA,29.1,6.4,7.8,158,4.1,0.5,458,500,2014,71.0060049
