SAMPLE,Weather,Location,SITE,TEMP,PH,CONDUCTIVITY,DO,Turburdity,Nitrite,NITRATE,TOTAL_COLI,E-Coli,FEACEL,AMONIAUM,BOD,COD,PHOSPHATE,SALINITY,WQI
19-Mar-09,Overcast,Manor Wood,6,8.64,3.56,746.2,131.7,,,,38000,12000,,0.22,< 2,,0.32,,13.45822686
19-Mar-09,Overcast,Cotswold Road,7a,7.84,5.53,1013.3,114.8,,,,17000,4600,,0.23,< 2,,< 0.10,,51.0037579
19-Mar-09,Overcast,Brixham Road,7b,8.73,6.13,1042.6,134.9,,,,11000,2600,,0.11,4,,< 0.10,,56.5511683
19-Mar-09,Overcast,Allison Road,9,9.34,5.59,778.7,178.7,,,,680000,18000,,0.33,5,,0.26,,39.28660948
19-Mar-09,Overcast,Cadogan Road,10,9.59,5.32,988.5,93.9,,,,1500000,2200,,0.32,36,,0.51,,188.7884395
19-Mar-09,Overcast,St Georges Park Lake,11,12.64,5.68,698.8,133,,,,400,<200,,0.03,4,,< 0.10,,42.32102941
17-Mar-09,Overcast,Dubbers Lane,12,11.33,4.28,1962.5,80.1,,,,3800,400,,32.6,< 2,,< 0.10,,61.3883249
17-Mar-09,Overcast,Eastville Park Lake,13,10.67,4.12,589.9,105.9,,,,<200,<200,,0.04,4,,< 0.10,,22.03216503
17-Mar-09,Overcast,Lower Grove Road,13a,9.66,4.11,813.9,102.9,,,,29000,8400,,0.57,3,,0.35,,23.36607026
17-Mar-09,Overcast,Snuff Mills,14,8.04,3.65,803.6,120.1,,,,200,200,,0.03,< 2,,< 0.10,,18.11682163
17-Mar-09,Overcast,Wade Street,14a,9.66,4.37,1097.2,102.1,,,,11000,3600,,0.06,< 2,,0.1,,38.5029981
17-Mar-09,Overcast,Mina Park ,15,9.57,4.16,1072.1,110.8,,,,12000,4800,,0.07,< 2,,0.17,,33.38238536
19-Mar-09,Overcast,Conham Vale,16,10.05,6.2,728.6,162.8,,,,3800,800,,0.15,< 2,,0.1,,45.60558797
29-Apr-09,Sunny,Trowbridge Road,2,11.34,5.22,1106.6,157.9,,,,240000,30000,,1.06,6,,0.83,,49.60647876
29-Apr-09,Sunny,Badocks Wood,2a,10.46,5.46,958.4,134.3,,,,4200,600,,0.28,2,,0.57,,36.41272059
29-Apr-09,Sunny,Coombe Dingle,3,8.64,5.12,966.6,106.4,,,,2800,800,,0.04,< 2,,0.21,,45.46784287
